Vx	Vy	Vz	Wx	Wy	Wz	fi	psi	teta	Ksi	Eta	Dzeta	T	Tng	Tkg	Tnb	Tkb	Lat	Long
2.000	0.005	-0.002	0.000	0.004	-0.004	-0.074	-0.470	-0.271	74.819	-20.372	33.880	929.126	-100.000	100.000	100.000	-100.000	69.219019	16.457235
2.000	0.008	-0.001	-0.000	-0.001	-0.010	-0.074	-0.468	-0.277	76.540	-20.906	34.748	929.126	-100.000	100.000	-100.000	100.000	69.219035	16.457257
2.000	0.010	-0.001	-0.000	-0.003	0.001	-0.074	-0.469	-0.281	78.258	-21.449	35.615	929.126	100.000	-100.000	100.000	-100.000	69.219050	16.457279
2.000	0.008	-0.003	-0.000	-0.004	-0.001	-0.075	-0.473	-0.279	79.974	-21.992	36.486	929.126	-100.000	100.000	100.000	-100.000	69.219066	16.457301
2.000	0.008	-0.003	-0.000	-0.000	-0.005	-0.076	-0.474	-0.280	81.688	-22.536	37.361	929.126	100.000	-100.000	-100.000	100.000	69.219081	16.457323
2.000	0.008	-0.004	-0.000	-0.000	0.003	-0.077	-0.477	-0.280	83.401	-23.081	38.239	929.126	-100.000	100.000	100.000	-100.000	69.219096	16.457345
2.000	0.006	-0.003	-0.000	0.004	0.006	-0.076	-0.475	-0.277	85.113	-23.625	39.118	929.126	-100.000	100.000	100.000	-100.000	69.219112	16.457367
2.000	0.003	-0.002	0.000	0.003	0.007	-0.075	-0.472	-0.272	86.828	-24.163	39.994	929.126	100.000	-100.000	100.000	-100.000	69.219127	16.457390
2.000	-0.000	-0.001	0.000	0.002	0.004	-0.075	-0.471	-0.268	88.546	-24.697	40.869	929.126	-100.000	100.000	-100.000	100.000	69.219143	16.457412
2.000	-0.001	0.000	0.000	0.004	-0.001	-0.074	-0.469	-0.267	90.266	-25.226	41.741	929.126	-100.000	100.000	100.000	-100.000	69.219158	16.457434
2.000	-0.003	0.000	0.000	0.001	-0.002	-0.074	-0.469	-0.265	91.987	-25.754	42.613	929.126	-100.000	100.000	-100.000	100.000	69.219174	16.457456
2.000	-0.003	-0.001	0.000	-0.002	0.002	-0.075	-0.470	-0.264	93.708	-26.279	43.486	929.126	-100.000	100.000	-100.000	100.000	69.219189	16.457478
2.000	-0.002	-0.003	0.000	-0.002	-0.002	-0.076	-0.476	-0.264	95.426	-26.804	44.365	929.126	-100.000	100.000	-100.000	100.000	69.219205	16.457500
2.000	-0.000	-0.004	0.000	-0.001	0.000	-0.077	-0.479	-0.267	97.141	-27.331	45.248	929.126	-100.000	100.000	100.000	-100.000	69.219220	16.457523
2.000	-0.002	-0.002	0.000	0.004	0.002	-0.076	-0.475	-0.264	98.857	-27.858	46.131	929.126	-100.000	100.000	-100.000	100.000	69.219235	16.457545
2.000	-0.001	-0.000	0.000	0.002	0.003	-0.075	-0.471	-0.265	100.575	-28.382	47.010	929.126	100.000	-100.000	100.000	-100.000	69.219251	16.457567
2.000	-0.003	0.001	0.000	0.001	0.001	-0.074	-0.469	-0.263	102.295	-28.906	47.885	929.126	-100.000	100.000	-100.000	100.000	69.219266	16.457590
2.000	-0.004	0.001	0.000	0.002	0.004	-0.074	-0.468	-0.260	104.017	-29.427	48.759	929.126	100.000	-100.000	-100.000	100.000	69.219282	16.457612
2.000	-0.006	0.002	0.000	0.001	0.002	-0.074	-0.466	-0.256	105.742	-29.942	49.630	929.126	-100.000	100.000	-100.000	100.000	69.219297	16.457634
2.000	-0.009	0.002	0.000	0.004	0.003	-0.073	-0.465	-0.251	107.469	-30.450	50.501	929.126	-100.000	100.000	-100.000	100.000	69.219313	16.457656
2.000	-0.011	0.003	0.000	0.000	-0.003	-0.073	-0.463	-0.247	109.200	-30.951	51.370	929.126	100.000	-100.000	-100.000	100.000	69.219328	16.457678
2.000	-0.010	0.003	0.000	0.003	-0.006	-0.072	-0.461	-0.248	110.932	-31.450	52.236	929.126	-100.000	100.000	-100.000	100.000	69.219344	16.457700
2.000	-0.005	0.004	-0.000	0.001	-0.009	-0.072	-0.459	-0.256	112.664	-31.954	53.099	929.126	100.000	-100.000	-100.000	100.000	69.219360	16.457722
2.000	-0.000	0.004	-0.000	-0.002	-0.006	-0.072	-0.459	-0.262	114.396	-32.468	53.958	929.126	100.000	-100.000	-100.000	100.000	69.219375	16.457744
2.000	0.000	0.003	0.000	0.003	0.007	-0.072	-0.459	-0.261	116.125	-32.986	54.818	929.126	56.492	-56.492	100.000	-100.000	69.219391	16.457765
2.000	-0.003	0.002	-0.000	-0.000	-0.000	-0.072	-0.460	-0.257	117.857	-33.499	55.678	929.126	-100.000	100.000	-100.000	100.000	69.219406	16.457787
2.000	-0.001	0.004	-0.000	0.003	-0.007	-0.071	-0.455	-0.260	119.589	-34.012	56.535	929.126	100.000	-100.000	-100.000	100.000	69.219422	16.457809
2.000	0.000	0.003	-0.000	-0.003	0.002	-0.071	-0.458	-0.261	121.323	-34.528	57.389	929.126	-100.000	100.000	100.000	-100.000	69.219438	16.457830
2.000	-0.001	0.001	-0.000	-0.004	0.001	-0.073	-0.462	-0.259	123.054	-35.042	58.249	929.126	-100.000	100.000	-100.000	100.000	69.219453	16.457852
2.000	0.001	-0.003	0.000	-0.008	-0.005	-0.075	-0.471	-0.262	124.780	-35.557	59.117	929.126	-100.000	100.000	-100.000	100.000	69.219469	16.457874
2.000	0.004	-0.006	0.000	-0.001	-0.005	-0.077	-0.477	-0.268	126.499	-36.079	59.996	929.126	100.000	-100.000	-100.000	100.000	69.219484	16.457897
2.000	0.005	-0.005	0.000	-0.006	0.004	-0.077	-0.479	-0.269	128.215	-36.606	60.877	929.126	100.000	-100.000	100.000	-100.000	69.219500	16.457919
2.000	0.003	-0.004	0.000	0.004	-0.002	-0.076	-0.476	-0.267	129.931	-37.130	61.760	929.126	100.000	-100.000	-100.000	100.000	69.219515	16.457941
2.000	0.004	-0.002	0.000	0.007	-0.002	-0.075	-0.472	-0.268	131.649	-37.655	62.639	929.126	100.000	-100.000	100.000	-100.000	69.219530	16.457964
2.000	0.005	0.001	-0.000	0.006	0.000	-0.073	-0.465	-0.272	133.371	-38.185	63.509	929.126	-100.000	100.000	100.000	-100.000	69.219546	16.457986
2.000	0.004	0.002	-0.000	-0.003	0.003	-0.073	-0.464	-0.270	135.094	-38.715	64.374	929.126	100.000	-100.000	100.000	-100.000	69.219561	16.458008
2.000	0.002	0.002	-0.000	0.000	0.005	-0.073	-0.464	-0.266	136.819	-39.241	65.239	929.126	-100.000	100.000	100.000	-100.000	69.219577	16.458029
2.000	-0.002	0.001	-0.000	0.000	0.000	-0.073	-0.464	-0.260	138.545	-39.762	66.104	929.126	-100.000	100.000	-100.000	100.000	69.219592	16.458051
2.000	-0.003	0.001	-0.000	-0.002	-0.000	-0.073	-0.465	-0.259	140.273	-40.278	66.970	929.126	-100.000	100.000	-100.000	100.000	69.219608	16.458073
2.000	-0.004	0.000	-0.000	0.002	0.002	-0.073	-0.465	-0.256	142.000	-40.791	67.838	929.126	-100.000	100.000	100.000	-100.000	69.219623	16.458095
2.000	-0.007	0.001	-0.000	-0.005	0.008	-0.073	-0.465	-0.251	143.729	-41.299	68.706	929.126	100.000	-100.000	-100.000	100.000	69.219639	16.458117
2.000	-0.008	-0.001	-0.000	-0.004	-0.002	-0.074	-0.469	-0.249	145.458	-41.799	69.577	929.126	-100.000	100.000	-100.000	100.000	69.219655	16.458139
2.000	-0.004	-0.003	0.000	0.000	-0.002	-0.075	-0.473	-0.253	147.184	-42.302	70.454	929.126	-100.000	100.000	100.000	-100.000	69.219670	16.458162
2.000	-0.003	-0.001	0.000	0.010	0.006	-0.074	-0.467	-0.254	148.909	-42.808	71.330	929.126	-100.000	100.000	100.000	-100.000	69.219686	16.458184
2.000	-0.006	0.002	0.000	-0.001	0.007	-0.072	-0.462	-0.248	150.640	-43.309	72.197	929.126	100.000	-100.000	100.000	-100.000	69.219701	16.458206
2.000	-0.009	0.002	0.000	0.002	0.008	-0.072	-0.460	-0.242	152.375	-43.801	73.062	929.126	100.000	-100.000	100.000	-100.000	69.219717	16.458228
2.000	-0.009	0.002	0.000	-0.005	-0.004	-0.072	-0.461	-0.243	154.112	-44.288	73.925	929.126	100.000	-100.000	100.000	-100.000	69.219732	16.458250
2.000	-0.006	0.000	0.000	0.001	-0.005	-0.073	-0.464	-0.247	155.846	-44.780	74.792	929.126	-100.000	100.000	-100.000	100.000	69.219748	16.458272
2.000	-0.003	-0.000	0.000	0.002	0.001	-0.073	-0.464	-0.249	157.578	-45.277	75.660	929.126	-100.000	100.000	100.000	-100.000	69.219764	16.458294
2.000	-0.002	0.000	0.000	0.005	0.002	-0.073	-0.464	-0.251	159.310	-45.775	76.528	929.126	-100.000	100.000	100.000	-100.000	69.219779	16.458316
2.000	-0.004	0.000	0.000	0.004	-0.004	-0.073	-0.463	-0.248	161.042	-46.271	77.395	929.126	-100.000	100.000	-100.000	100.000	69.219795	16.458338
2.000	-0.002	0.001	-0.000	0.004	-0.002	-0.072	-0.461	-0.251	162.776	-46.768	78.259	929.126	-100.000	100.000	-100.000	100.000	69.219810	16.458360
2.000	0.000	0.003	-0.000	-0.001	-0.004	-0.072	-0.458	-0.255	164.510	-47.270	79.120	929.126	100.000	-100.000	-100.000	100.000	69.219826	16.458381
2.000	0.001	0.002	-0.000	-0.003	0.001	-0.072	-0.461	-0.255	166.244	-47.775	79.980	929.126	-100.000	100.000	-100.000	100.000	69.219841	16.458403
